pert_iname	tas	cell_iname	moa
cilengitide	-666	MDAMB231	Integrin inhibitor
JWH-015	-666	T47D	Cannabinoid receptor agonist
JWH-015	-666	T47D	Cannabinoid receptor agonist
EX-527	-666	T47D	SIRT inhibitor
EX-527	-666	T47D	SIRT inhibitor
EX-527	-666	T47D	SIRT inhibitor
RG-108	-666	T47D	DNA inhibitor
RG-108	-666	T47D	DNA inhibitor
RG-108	-666	T47D	DNA inhibitor
bortezomib	-666	MDAMB231	NFKB inhibitor|Proteasome inhibitor
cilengitide	-666	MDAMB231	Integrin inhibitor
JWH-015	-666	T47D	Cannabinoid receptor agonist
cilengitide	-666	MDAMB231	Integrin inhibitor
cilengitide	-666	MDAMB231	Integrin inhibitor
cilengitide	-666	MDAMB231	Integrin inhibitor
cilengitide	-666	MDAMB231	Integrin inhibitor
Y-39983	-666	MDAMB231	Rho associated kinase inhibitor
Y-39983	-666	MDAMB231	Rho associated kinase inhibitor
Y-39983	-666	MDAMB231	Rho associated kinase inhibitor
Y-39983	-666	MDAMB231	Rho associated kinase inhibitor
