GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
107986058	0.00585	0.000000443	0.324	-5.049276	-1.6357752	44.05	LOC107986058	uncharacterized LOC107986058
158584	0.00585	0.000000516	0.1532	-5.0204432	-0.7690417	70.73	FAAH2	fatty acid amide hydrolase 2
105371227	0.00648	0.000000857	0.2737	-4.921971	-1.3472665	22.74	LOC105371227	uncharacterized LOC105371227
100130207	0.02127	0.00000375	0.1352	-4.6248042	-0.6254103	104.04	LOC100130207	uncharacterized LOC100130207
105378753	0.02813	0.00000697	0.2206	-4.4946461	-0.991672	69.55	LINC02777	long intergenic non-protein coding RNA 2777
677777	0.02813	0.00000744	0.1304	4.4807618	0.5844958	442.36	SCARNA12	small Cajal body-specific RNA 12
153768	0.03137	0.0000164	0.1192	-4.308596	-0.5134606	318.17	PRELID2	PRELI domain containing 2
2196	0.03137	0.0000177	0.4074	-4.2917047	-1.748336	174.59	FAT2	FAT atypical cadherin 2
401447	0.03137	0.0000139	0.2694	-4.3450507	-1.1706216	30.72	USP17L1	ubiquitin specific peptidase 17 like family member 1
101929400	0.03137	0.000018	0.377	-4.2887189	-1.6169155	16.58	LOC101929400	uncharacterized LOC101929400
646405	0.03137	0.000012	0.1469	-4.3776383	-0.643289	135.58	TPTE2P1	TPTE2 pseudogene 1
6510	0.03137	0.0000108	0.2908	4.3995494	1.2795232	115.95	SLC1A5	solute carrier family 1 member 5
105372994	0.03137	0.0000148	0.2458	-4.3313438	-1.0644776	50.92	LOC105372994	uncharacterized LOC105372994
105371475	0.03808	0.0000237	0.1946	-4.2270313	-0.8224975	136.21	LOC105371475	uncharacterized LOC105371475
84176	0.03808	0.00003	0.3387	-4.1736453	-1.4138017	13.26	MYH16	myosin heavy chain 16 pseudogene
441272	0.03808	0.0000297	0.136	-4.1755005	-0.5676873	260.34	SPDYE3	speedy/RINGO cell cycle regulator family member E3
105375956	0.03808	0.0000302	0.3464	-4.1719023	-1.4451766	22.84	LOC105375956	uncharacterized LOC105375956
